               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065632,            0.030497,            0.020851,             0.46181,             0.29648,             0.20657,            0.090125,            0.044925,            0.019165,            0.011769,           0.0033311,           0.0033311,             0.07002
                   1,            0.051195,            0.026225,            0.011364,             0.52321,             0.29766,             0.26617,             0.12359,             0.04105,            0.018107,           0.0097782,           0.0051649,           0.0051649,            0.038521
                   2,            0.044319,            0.025274,           0.0093271,             0.56345,             0.37449,             0.32288,             0.14852,            0.039773,             0.01769,           0.0079608,           0.0032493,           0.0032493,           0.0032716
